Dataset,Algorithm,Attack,seed,had_cache,new_test_mae,d_test_mae,new_test_rmse,d_test_rmse,new_test_mape,d_test_mape,new_test_accuracy,d_test_accuracy,new_test_macro_f1,d_test_macro_f1,new_test_macro_recall,d_test_macro_recall,new_test_auc,d_test_auc,new_sec_trust_auc,d_sec_trust_auc,new_sec_malicious_weight_mass,d_sec_malicious_weight_mass,new_sec_tdr,d_sec_tdr,new_sec_fpr,d_sec_fpr,worst_delta,changed
PEMS-BAY,Static-Mamdani-FL,Sybil_Poisoning,47,True,2.089017391204834,0.0,2.5624568462371826,0.0,4.158977508544922,0.0,0.903,0.0,0.729948440530402,0.0,0.7579560047817383,0.0,0.9957631301208488,0.0,1.0,0.0,0.192750074757686,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Byzantine_Noise,42,True,1.0643476247787476,0.0,1.8957713842391968,0.0,1.9944891929626465,0.0,0.94495,0.0,0.8119919699141036,0.0,0.7844663794353023,0.0,0.9934697693891115,0.0,1.0,0.0,0.14588072319595463,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Byzantine_Noise,43,True,1.8336567878723145,0.0,2.47745680809021,0.0,3.2054543495178223,0.0,0.93585,0.0,0.7892658172686257,0.0,0.7512302280158464,0.0,0.9936425245440669,0.0,1.0,0.0,0.1771790382289493,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Byzantine_Noise,44,True,1.07691490650177,0.0,1.9715253114700317,0.0,2.0758228302001953,0.0,0.94515,0.0,0.8024816648331965,0.0,0.7953621864866612,0.0,0.9938227664690411,0.0,1.0,0.0,0.14373653697984803,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Byzantine_Noise,45,True,1.2861918210983276,0.0,2.032743453979492,0.0,2.297327756881714,0.0,0.9395,0.0,0.8102069657352882,0.0,0.8245770408765308,0.0,0.9937496047814507,0.0,1.0,0.0,0.13939444829353323,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Byzantine_Noise,46,True,1.6543503999710083,0.0,2.3341269493103027,0.0,2.953343391418457,0.0,0.9394,0.0,0.7894327587858028,0.0,0.7544698348078074,0.0,0.9936897511333411,0.0,1.0,0.0,0.13186230306620603,0.0,1.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Byzantine_Noise,47,True,1.0815094709396362,0.0,1.9207156896591187,0.0,2.087664842605591,0.0,0.94465,0.0,0.8069078920038179,0.0,0.7821617184112251,0.0,0.9938185110965153,0.0,1.0,0.0,0.1435269143541943,0.0,1.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Label_Flipping,42,True,1.7262130975723267,0.0,2.560245990753174,0.0,3.5343191623687744,0.0,0.93075,0.0,0.666438444835638,0.0,0.6239506599042344,0.0,0.9935035643563705,0.0,1.0,0.0,0.19062812189067144,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Label_Flipping,43,True,1.6475416421890259,0.0,2.3596460819244385,0.0,3.1528263092041016,0.0,0.93995,0.0,0.7534163263414108,0.0,0.7134183036562671,0.0,0.9934652527344043,0.0,1.0,0.0,0.19590634769369913,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Label_Flipping,44,True,1.915751576423645,0.0,2.9946775436401367,0.0,4.1899333000183105,0.0,0.91205,0.0,0.5178876298865843,0.0,0.4822424155860059,0.0,0.9932223354376872,0.0,1.0,0.0,0.20136477714666784,0.0,0.0,0.0,0.0,0.0,0.0,False
