dataset,algorithm,attack,seed,rounds,n_clients,n_params,malicious_frac,zt_tau,test_mae,test_rmse,test_mape,test_accuracy,test_macro_f1,test_macro_recall,test_macro_precision,test_weighted_f1,test_auc,val_mae,val_rmse,val_mape,val_accuracy,val_macro_f1,val_macro_recall,val_macro_precision,val_weighted_f1,val_auc,sec_trust_auc,sec_malicious_weight_mass,sec_tdr,sec_fpr,sec_mean_trust_benign,sec_mean_trust_malicious,sec_trust_margin,sec_tau_used,n_malicious,wall_time_s
METR-LA,FedAvg,Byzantine_Noise,44,40,10,7825,0.3,0.35,3.6434147357940674,5.183365345001221,8.112858772277832,0.74725,0.6440595280455385,0.6689244039204032,0.6314292753609688,0.7630154350262508,0.9695792917699106,3.613650321960449,5.050673007965088,7.981917858123779,0.75865,0.6380290220253622,0.6629662517882179,0.6266753105073299,0.7751656999549532,0.9721414131261672,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,248.2033886909485
METR-LA,FedAvg,Byzantine_Noise,45,40,10,7825,0.3,0.35,3.86767578125,5.690260887145996,8.827507019042969,0.71195,0.6134087159929025,0.6263602321182026,0.6240270029957365,0.7324706215653596,0.9573939274234733,3.8962624073028564,5.607468128204346,8.70251178741455,0.7136,0.6027931483699085,0.6241288687171059,0.6097779618520389,0.7383599065911894,0.9628428009749193,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,249.36166787147522
METR-LA,FedAvg,Byzantine_Noise,46,40,10,7825,0.3,0.35,6.462583541870117,7.927844047546387,13.352100372314453,0.7713,0.54926566466615,0.5140027114708883,0.6298529379035482,0.7335804818388943,0.9642877219664929,6.441670894622803,7.810050010681152,13.212969779968262,0.79165,0.5630453851145762,0.5261425448765406,0.6489064507615405,0.756031294394013,0.967790795750178,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,249.90907835960388
METR-LA,FedAvg,Byzantine_Noise,47,40,10,7825,0.3,0.35,5.069141387939453,6.619506359100342,12.411176681518555,0.7579,0.47485022681642813,0.4496285549926028,0.6210565357051895,0.7205050774076033,0.9709337457418306,4.981083393096924,6.467833518981934,12.296955108642578,0.7779,0.48762895562224207,0.46322354391454806,0.6339472374897205,0.7427952648181879,0.9744250466404242,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,248.61487102508545
METR-LA,FedProx,Byzantine_Noise,42,40,10,7825,0.3,0.35,2.5178370475769043,4.420544624328613,6.629456043243408,0.82925,0.6876610759590954,0.6689028365468335,0.7146666440585199,0.8258091068673499,0.9757564120186276,2.4144670963287354,4.221176624298096,6.408669948577881,0.84435,0.6946879294713117,0.6763560758119999,0.723892496262178,0.8414442735698469,0.978456260132068,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,396.40924096107483
METR-LA,FedProx,Byzantine_Noise,43,40,10,7825,0.3,0.35,2.5076370239257812,4.4351487159729,6.440893650054932,0.83035,0.6872976157945646,0.6681306548330995,0.7116500677710735,0.8263915803459855,0.9750594346131713,2.396145820617676,4.192528247833252,6.133419513702393,0.84435,0.6971972055128548,0.6786785663822104,0.7220161408538004,0.8412298849867144,0.978103762398775,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,396.52188372612
METR-LA,FedProx,Byzantine_Noise,44,40,10,7825,0.3,0.35,2.4988179206848145,4.426137924194336,6.370839595794678,0.8313,0.6959118066393614,0.6810844162533032,0.7144059684340919,0.8287847052560623,0.9749340969248339,2.3829617500305176,4.17891788482666,6.039882659912109,0.84495,0.7014876949006597,0.6868043338724987,0.7212288541985108,0.8430104807914981,0.9780482894896829,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,398.2619390487671
METR-LA,FedProx,Byzantine_Noise,45,40,10,7825,0.3,0.35,2.530827283859253,4.4240827560424805,6.264717102050781,0.82905,0.7019126965951681,0.694408891638147,0.7102791378039849,0.8290979099206519,0.9745364203749344,2.4198153018951416,4.165825843811035,5.919649600982666,0.8441,0.708151602470065,0.6999822161240006,0.7184108896628661,0.8443436561269333,0.9777174300476577,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,398.56506729125977
METR-LA,FedProx,Byzantine_Noise,46,40,10,7825,0.3,0.35,2.5101664066314697,4.451766014099121,6.3675217628479,0.8321,0.692836904160031,0.6744675782489874,0.7148402773383279,0.8269260306977856,0.9750405219049123,2.390150547027588,4.2079596519470215,6.034284591674805,0.847,0.7016223331089397,0.6823525532799598,0.7257043635018563,0.84276873867635,0.9779450113216016,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,400.03703260421753
METR-LA,FedProx,Byzantine_Noise,47,40,10,7825,0.3,0.35,2.5653395652770996,4.494734287261963,6.640133857727051,0.82935,0.6859801536225112,0.6637359812529364,0.7161132786961429,0.8236536494106033,0.9749893821226167,2.4480764865875244,4.267000198364258,6.336078643798828,0.84465,0.6953895893751747,0.6728368173843975,0.7277040842319469,0.8396413163882186,0.9778370358473256,0.5,0.3,0.0,0.0,0.5,0.5,0.0,0.35,3,398.23683285713196
